unnamed: 0,abbr,fullform
1225,chink,offensive term for an asian or chinese person
1226,chinwag,chat
1227,chio,sexy
1228,chipotle,mexican-style restaurant
1229,chippy,fish and chip shop
1230,chips,money
1231,chirp,insult
1232,chirpse,flirt
1233,chiz,swiz
1234,chizz,chill out
1235,choice,nice
1236,cholo,mexican gangster
1237,chong,good looking
1238,choo,you
1239,choob,high level player who acts like a noob
1240,choong,good looking
1241,chop it up,talk
1242,chopper,ak-47 assault rifle
1243,chortle,chuckle and snort
1244,chout,chill out
1245,chow,bye
1246,chp,california highway patrol
1247,chronic,high quality marijuana
1248,chu,you
1249,chug,drink
1250,chula,cute
1251,chunder,be sick
1252,chung,good looking
1253,chutiya,mild indian expletive
1254,chya,yes
1255,chyea,yes
1256,ci,confidential informant
1257,cia,central intelligence agency
1258,ciao,italian for hi or bye
1259,cib,complete in box
1260,cic,'cause i can
1261,cid,acid
1262,cig,cigarette
1263,ciggie,cigarette
1264,ciggy,cigarette
1265,cihy,can i help you
1266,cimh,chuckle in my head
1267,cini,cinema
1268,cino,catholic
1269,cio,check it out
1270,cir,committed information rate 
1271,cita,caught in the act
1272,ck,crip killa
1273,cki,chair-keyboard interface
1274,ckl,chuckle
1275,cl,chain letter
1276,clap,gonorrhea
1277,clapped,shot
1278,claret,blood
1279,class,cool
1280,cleo,chief law enforcement officer
1281,cli,command line interface
1282,click,kilometre
1283,clique,group of friends
1284,clm,career limiting move
1285,clock,look at
1287,cloud 9,feeling of euphoria
1288,clt,currently listening to
1289,clubbing,visiting nightclubs
1290,clubhead,person who goes to clubs a lot
1291,clut,clumsy person
1292,clutch,perform under pressure
1293,clwy,cannot live without you
1294,cm,call me
1295,cmar,cry me a river
1296,cmb,call me back
1297,cmc,casi me cago
1298,cmd,command
1299,cme,close my eyes
1300,cmeo,crying my eyes out
1301,cmh,cross my heart
1302,cmho,cry my heart out
1303,cmi,count me in
1304,cmiiw,correct me if i am wrong.
1305,cmiyc,catch me if you can
1306,cml,call me later
1307,cmn,call me now
1308,cmnt,comment
1309,cmos,complementary metal-oxide semiconductor
1310,cms,content management system
1311,cmt,comment
1312,cmu,cracks me up
1313,cmyk,cyan magenta yellow key
1314,cna,certified nursing assistant
1315,cnc,command and conquer
1316,cnd,campaign for nuclear disarmament
1317,cnn,cable news network
1318,cny,chinese new year
1319,co,commanding officer
1320,co2,carbon dioxide
1321,coa,certificate of authenticity
1322,coalburner,white woman that dates black men
1323,cock up,mistake
1324,cocky,thinking too highly of yourself
1325,cod,cash on delivery
1326,cod4,call of duty 4
1327,code,computer program
1328,codec,coder-decoder 
1329,coed,coeducational 
1330,cog,coalition of gears 
1331,coke,cocaine
1332,col,crying out loud
1333,cola,top bud of a marijuana plant
1334,commando,without underwear
1335,commy,communist
1336,condo,apartment
1337,congrats,congratulations
1338,cont,continued
1339,contd,continued
1340,convo,conversation
1341,coo,cool
1342,cookie,small file relating to a website
1343,cool beans,cool
1344,coolin,chilling
1345,cop,officer of the law
1346,copacetic,cool
1347,copy that,i understand
1348,copycat,someone who copies someone else
1349,copypasta,post that has been copied and pasted
1350,cor,god
1351,corny,uncool
1352,cos,because
1353,cosplay,costume play
1354,cotch,relax
1355,cotd,comment of the day
1356,couch potato,lazy person who sits all day watching tv
1357,cougar,older woman looking for a younger man
1358,couger,older woman looking for a younger man
1360,couple,two people in a relationship
1361,course,of course certainly
1362,cow,offensive term for a woman
1363,coyb,come on you blues
1364,coyg,come on you gunners
1365,coyote,person who smuggles immigrants
1366,coyr,come on you reds
1367,coys,come on you spurs
1368,coz,because
1369,cpc,cost per click
1370,cpi,consumer price index
1371,cpl,cyberathlete professional league 
1372,cpm,cost per thousand
1373,cpp,c plus plus
1374,cpr,cardiopulmonary resuscitation
1375,cpt,colored people's time
1376,cpu,central processing unit
1377,cqb,close quarters battle
1378,cqc,close quarters combat
1379,cqtms,chuckle quietly to myself
1380,cr,credit
1381,crab,derogatory word for a crip
1382,crack,a form of cocaine
1383,cracka,offensive term for a white person
1384,craic,good times
1385,cray,crazy
1386,cray cray,really crazy
1387,crb,criminal records bureau
1388,crbt,crying real big tears
1389,crc,cyclic redundency check
1390,creasing,laughing
1391,creep,weird
1392,creeper,someone who views your profile but does not make contact
1393,creps,trainers
1394,crey,cry
1395,crib,house
1396,crickets,said after a lame joke to break the silence
1397,crimbo,christmas
1398,crip,community restoration in progress
1399,crit,critical hit 
1400,crm,customer relationship management
1401,croak,die
1402,crow,marijuana
1403,crt,cathode ray tube
1404,crunk,crazy and drunk
1405,crush,infatuation
1406,crusty,dirty
1407,crv,compact recreational vehicle
1408,cs,counter-strike
1409,csa,cheap shot artist
1410,csb,cool story bro 
1411,csi,crime scene investigation 
1412,csl,cannot stop laughing
1413,csm,client side modification
1414,csr,customer service representative
1415,css,counter strike: source
1416,cst,central standard time
1417,csu,california state university
1418,csv,comma separated values
1419,ctc,call the cell
1420,ctd,crash to desktop
1421,ctf,capture the flag
1422,cthu,crack the hell up
1423,ctm,chuckling to myself
1424,ctn,cannot talk now
1425,cto,check this out
1426,ctr,click through rate
1427,ctrl,control 
1428,ctrn,cant talk right now
1429,cts,chuckles to self
1430,ctu,counter terrorist unit
1431,cu,see you
1432,cuad,curl up and die
1433,cuckoo,mad
1434,cuddy,buddy
1435,cuff,overprotect
1436,cuffed,taken
1437,cug,closed user group
1438,cuh,cousin
1439,cuiab,see you in a bit
1440,cul,see you later.
1441,cul8er,see you later
1442,cul8r,see you later
1443,cula,see you later alligator
1444,culo,ass 
1445,cumberbitch,female fan of benedict cumberbatch
1446,cuol,see you on line
1447,cuppa,cup of tea
1448,cus,friend
1449,cush,high grade marijuana
1450,cushti,good
1451,cuss,curse
1452,cut,see you tomorrow
1453,cutch,snuggle up
1454,cute,someone
1455,cutie,cute
1456,cuty,cutie
1457,cuwyl,catch up with you later
1458,cuz,because
1459,cuzz,friend
1460,cuzzo,friend
1461,cv,curriculum vitae
1462,cvv,card verification value
1463,cw,clockwise
1464,cwb,crazy white boys
1465,cwd,comment when done
1466,cwot,complete waste of time
1467,cwt,hundred weight 100lbs
1468,cwtch,hug or cuddle
1469,cwtcu,cannot wait to see you
1470,cwtsy,cannot wait to see you
1471,cwuc,call when you can
1472,cwyl,chat with you later.
1473,cyb,count your blessings
1474,cybi,can you believe it
1475,cydi,can you dig it
1476,cydm,check your direct messages
1477,cye,check your email
1478,cyf,cross your fingers
1479,cyl,catch you later
1480,cyl8r,see you later
1481,cym,check your mail
1482,cyo,see you online
1483,cyoot,cute
1484,cyph,to share a smoke
1485,cyt,see you tomorrow
1486,cz,condition zero 
1487,d bo,steal
1488,d&d,dungeons and dragons
1489,d&m,deep and meaningful
1490,d's,dayton rims
1491,d(m)v,dc maryland virginia
1492,d-day,6th june 1944
1493,d/c,disconnected
1494,d00d,dude
1495,d12,dirty dozen
1496,d2f,dtf
1497,d2m,dead to me
1498,d8,date
1499,d:,suprised
1500,d:<,angry
1501,d;,crying
1502,da,the district attorney
1503,da bomb,excellent
1504,dab,digital audio broadcasting
1505,dada,defence against the dark arts 
1506,dadt,do not ask do not tell
1507,dae,does anybody else
1508,dag,damn
1509,daggy,uncool
1510,dago,offensive term for an italian
1511,dam,do not ask me
1512,damage,cost of something
1513,damhik,do not ask me how i know
1514,damhikt,do not ask me how i know that
1515,dang,damn
1516,dank,very potent marijuana
1517,dap,touching of fists greeting
1518,daq,do not ask questions
1519,dare,drug abuse resistance education
1520,darl,darling
1521,darn,damn
1522,darpa,defense advanced research projects agency
1523,dat,that
1524,dato,dining at the orifice
1525,david,cool guy
1526,daw,digital audio workstation
1527,dawg,close friend
1528,dayum,damn
1529,db,douche bag
1530,dba,do not bother asking
1531,dbc,dime by comparison
1532,dbd,do not be dumb
1533,dbeyr,do not believe everything you read
1534,dbf,dat be fair
1535,dbi,douche bag index
1536,dbj,do not be jealous
1537,dbl,do not be late
1538,dbm,do not bother me
1539,dbms,database management system
1540,dbnt,do not bother next time
1541,dbr,damaged beyond repair
1542,dbs,do not be stupid
1543,dbt,doing big things
1544,dbz,dragon ball z
1545,dc,do not care
1546,dced,dissconected
1547,dcf,department of children and families
1548,dci,drum corps international
1549,dcoi,do not count on it
1550,dct,dream come true
1551,dd free,disease and drug free
1552,ddb,deaf dumb blind
1553,ddf,drug and disease free
1554,ddg,drop dead gorgeous
1555,ddi,do not do it
1556,ddmmyy,day month year
1557,ddos,distributed denial of service 
1558,ddr,dance dance revolution 
1559,ddt,do not do that
1560,de,the
1561,dea,drug enforcement administration
1562,dead ass,serious
1563,dealing,acting like boyfriend
1564,dear,drop everything and read
1565,deb,do not even bother
1566,debo,steal
1567,dec,decent
1568,decent,good
1569,deck,cool
1570,ded,dead from joy
1571,deec,decent
1572,deece,decent
1573,deets,details
1574,deez,these
1575,def,cool
1576,deff,definitely
1577,deffo,definitely
1578,defo,definitely
1579,defs,definitely
1580,degt,do not even go there
1581,deh,doh
1582,deke,avoid
1583,delish,delicious
1584,dem,them
1585,den,then
1586,dench,awesome
1587,dept,department
1588,der,duh!
1589,dere,there
1590,dero,derelict
1591,derob,very bored
1592,derp,reply to stupid comment or action
1593,derr,duh
1594,derv,diesel engine road vehicle
1595,desi,someone from the indian subcontinent
1596,despo,desperate
1597,desu,it is
1598,det,do not even trip
1599,detai,do not even think about it
1600,deuces,peace
1601,devo,devastated
1602,dey,they
1603,df,dumbass frankenstein
1604,dfe,dead fish experience
1605,dff,do not forget to flush
1606,dfi,do not force it
1607,dfli,do not feel like it
1608,dfm,dance floor makeout
1609,dfo,done fell out
1610,dfs,dating for sport
1611,dftba,do not forget to be awesome
1612,dftd,done for the day
1613,dfts,do not forget to smile
1614,dftsyp,do not forget to say your prayers
1615,dftt,do not feed the troll
1616,dfw,down for whatever
1617,dg,do not go
1618,dgi,do not get involved
1619,dgk,dirty ghetto kids 
1620,dgot,do not go over there
1621,dgt,do not go there
1622,dgtwm,do not go there with me
1623,dh,darling husband
1624,dhcp,dynamic host configuration protocol
1625,dhl,shipping company
1626,dhmu,do not hit me up
1627,dhs,department of homeland security
1628,dhtml,dynamic html
1629,dhv,demonstration of higher value
1630,dhyb,do not hold your breath
1631,diaf,die in a fire
1632,diao,cool
1633,dibs,a claim
1634,dic,do i care
1635,diddo,ditto
1636,dido,diddo
1637,dig,understand
1638,digg,social bookmarking website
1639,digits,telephone number
1640,digs,home
1641,diku,do i know you
1642,diky,do i know you
1643,dil,daughter-in-law
1644,dillic,does it look like i care
1645,dilligad,do i look like i give a darn
1646,dime,$10 of a drug
1647,dimer,10
1648,dimm,dual in-line memory module
1649,din,do it now
1650,din din,dinner
1651,dinero,money
1652,ding,just hit new level in rpg
1653,dingbat,stupid person
1654,dingy,ignore
1655,dink,dual income no kids
1656,dinky,tiny
1657,dinlo,stupid person
1658,dint,did not
1659,dip,leave
1660,dipped,fashionable
1661,dique,supposedly
1662,dirt,low grade marijuana
1663,dis,did i say
1664,diso,desperately in search of
1665,diss,disrespect
1666,dissing,being disrespectful
1667,distro,distribution
1668,dit,details in thread
1669,ditd,down in the dumps
1670,ditto,the same
1671,ditzy,acting dumb and innocent
1672,div,stupid person
1673,diva,talented but arrogant female performer
1674,divx,video format
1675,diy,do it yourself
1676,dizzy,crazy
1677,dj,disc jockey
1678,djm,do not judge me
1679,dk,do not know
1680,dkdc,do not know do not care
1681,dkfs,do not know for sure
1682,dkm,do not kill me
1683,dkny,donna karan new york
1684,dkp,dragon kill points
1685,dky,do not know yet
1686,dl,down low
1687,dlam,do not laugh at me
1688,dlb,do not look back
1689,dlc,downloadable content
1690,dll,dynamic link library
1691,dln,do not look now
1692,dls,dirty little secret
1693,dltbbb,do not let the bed bugs bite
1694,dltbgyd,do not let the bastards grind you down
1695,dltm,do not lie to me
1696,dlv,demonstration of lower value
1697,dm,do not mind
1698,dmaf,do not make a fuss
1699,dmal,drop me a line
1700,dmb,dave matthews band
1701,dmc,deep meaningful conversation
1702,dmca,digital millennium copyright act
1703,dmg,damage
1704,dmi,do not mention it
1705,dmiid,do not mind if i do
1706,dmm,do not mind me
1707,dmml,do not make me laugh
1708,dmn,damn
1710,dmt,di-methyl tryptamine 
1711,dmta,dirty minds think alike
1712,dmv,department of motor vehicles
1713,dmw,dead man walking
1714,dmx,dark man x 
1715,dmy,do not mess yourself
1716,dmz,de-militarized zone
1717,dn,doing nothing
1718,dna,deoxyribonucleic acid
1719,dnb,drum and bass
1720,dnc,democratic national committee
1721,dnd,do not disturb
1722,dndc,do not know do not care
1723,dne,do not erase
1724,dnf,did not finish
1725,dnftt,do not feed the troll
1726,dnk,do not know
1727,dnm,does not matter
1728,dno,do not know
1729,dnp,do not post
1730,dnr,do not resuscitate
1731,dns,domain name service
1732,dnt,do not
1733,dntk,do not need to know
1734,dnw,do not want
1735,doa,dead on arrival
1736,dob,date of birth
1737,dobe,idiot
1738,doc,doctor
1739,dod,day of defeat
